Facility,Department,Casper ID,Date,Time,Shipment/Bag ID,Seal ID,PTC Code,Device #
MotherHub_YKB,MH-PRIMARY,2526768,19-10-2023,05:05 PM,FMPC3160404304,"","",H4050C210800759
MotherHub_YKB,MH-OUTBOUND,2735900,19-10-2023,05:05 PM,FMPC3160148835,"","",H4050C210600452
MotherHub_YKB,MH-SECONDARY IN,2585037,19-10-2023,05:05 PM,FMPC3162823367,"","",H4050C210600643
MotherHub_YKB,MH-PRIMARY,2633536,19-10-2023,05:05 PM,FMPP1952935758,"","",H4050C210600300
MotherHub_YKB,MH-SECONDARY IN,2739011,19-10-2023,05:05 PM,FMPC3159656503,"","",H4050C210600374
MotherHub_YKB,MH-SECONDARY IN,2523182,19-10-2023,05:05 PM,FMPP1952562724,"","",H4050C210800844
MotherHub_YKB,MH-SECONDARY IN,2660318,19-10-2023,05:05 PM,FMPC3160190626,"","",H4050C200700420
MotherHub_YKB,MH-SECONDARY IN,2567497,19-10-2023,05:05 PM,FMPP1949774786,"","",H4050C210600246
MotherHub_YKB,MH-PRIMARY,2659441,19-10-2023,05:05 PM,FMPC3159142363,"","",H4050C210701077
MotherHub_YKB,MH-IRT-OUT,2310091,19-10-2023,05:05 PM,F-33312567170944074,"","",H4050C180800949
MotherHub_YKB,MH-PRIMARY,2626908,19-10-2023,05:05 PM,FMPC3161778777,"","",H4050C210800607
MotherHub_YKB,MH-SECONDARY IN,2317678,19-10-2023,05:05 PM,FMPC3161737126,"","",H4050C210800183
MotherHub_YKB,MH-INBOUND,2585400,19-10-2023,05:05 PM,"",SPI31918932-23,"",H4050C210600386
MotherHub_YKB,MH-OUTBOUND,2735900,19-10-2023,05:05 PM,FMPC3161866132,"","",H4050C210600452
MotherHub_YKB,MH-PRIMARY,2661674,19-10-2023,05:05 PM,FMPP1954543524,"","",H4050C210702039
MotherHub_YKB,MH-PRIMARY,2926392,19-10-2023,05:05 PM,FMPC3161042735,"","",H4050C210800486
MotherHub_YKB,MH-PRIMARY,2599626,19-10-2023,05:05 PM,FMPP1954132855,"","",H4050C210600154
MotherHub_YKB,MH-SECONDARY IN,2523182,19-10-2023,05:05 PM,FMPP1953337795,"","",H4050C210800844
MotherHub_YKB,MH-SECONDARY IN,2585830,19-10-2023,05:05 PM,FMPC3158069534,"","",H4050C210702004
MotherHub_YKB,MH-PRIMARY,2692231,19-10-2023,05:05 PM,FMPP1952823647,"","",H4050C180800383
MotherHub_YKB,MH-SECONDARY IN,2585037,19-10-2023,05:05 PM,FMPC3162414955,"","",H4050C210600643
MotherHub_YKB,MH-PRIMARY,2377870,19-10-2023,05:05 PM,FMPP1954262034,"","",H4050C210600828
MotherHub_YKB,MH-PRIMARY,2280549,19-10-2023,05:05 PM,"",SPI32005295-23,"",H4050C210600241
MotherHub_YKB,MH-PRIMARY,2665564,19-10-2023,05:05 PM,FMPP1952565718,"","",H4050C210801076
MotherHub_YKB,MH-PRIMARY,2695593,19-10-2023,05:05 PM,C-23986605738845483,"","",H4050C210800171
MotherHub_YKB,MH-PRIMARY,2629294,19-10-2023,05:05 PM,FMPC3160206456,"","",H4050C210800016
MotherHub_YKB,MH-BAG LABELLING,2641772,19-10-2023,05:05 PM,"",SLB09062674-23,"",H4050C210701405
MotherHub_YKB,MH-PRIMARY,2626826,19-10-2023,05:05 PM,FMPC3155610886,"","",H4050C210700192
MotherHub_YKB,MH-SECONDARY IN,2458359,19-10-2023,05:05 PM,FMPP1954911260,"","",H4050C210600437
MotherHub_YKB,MH-SECONDARY IN,2528151,19-10-2023,05:05 PM,FMPP1950820066,"","",H4050C210600537
MotherHub_YKB,MH-PRIMARY,2692231,19-10-2023,05:05 PM,FMPC3162112462,"","",H4050C180800383
MotherHub_YKB,MH-PRIMARY,2829515,19-10-2023,05:05 PM,A-33743999954655080,"","",H4050C210600305
